time_step,source_neuron_1,source_neuron_2,neuron_distance,uniq_s1,uniq_s2,redun_s1_s2,syn_s1_s2,overlapping
9,35,51,0.51327257,0.084148438,0.112317478,0.016690871,0.166705711,0.018242582
10,35,51,0.51327257,0.073537876,0.118530933,0.007589328,0.223353032,0.018242582
11,35,51,0.51327257,0.093421345,0.078222252,0.006688022,0.176858981,0.018242582
12,35,51,0.51327257,0.120342181,0.098087543,0.011421856,0.215913802,0.018242582
13,35,51,0.51327257,0.110669641,0.119868894,0.018322166,0.200457458,0.018242582
14,35,51,0.51327257,0.091331911,0.11109734,0.024781559,0.22328431,0.018242582
15,35,51,0.51327257,0.074069907,0.094747409,0.00805773,0.210967607,0.018242582
16,35,51,0.51327257,0.088367954,0.098294779,0.014494433,0.224948148,0.018242582
17,35,51,0.51327257,0.098700414,0.103162106,0.013640209,0.212337676,0.018242582
18,35,51,0.51327257,0.092879115,0.085432614,0.011656578,0.221150759,0.018242582
19,35,51,0.51327257,0.069884874,0.097002788,0.023649377,0.212590954,0.018242582
20,35,51,0.51327257,0.12018716,0.116960853,0.012280706,0.216048059,0.018242582
21,35,51,0.51327257,0.095965311,0.105445891,0.010719928,0.191849843,0.018242582
22,35,51,0.51327257,0.09818967,0.127309925,0.013668844,0.203656733,0.018242582
23,35,51,0.51327257,0.125538105,0.093564861,0.02207503,0.19288872,0.018242582
24,35,51,0.51327257,0.111327538,0.08209091,0.0168378,0.212717559,0.018242582
25,35,51,0.51327257,0.0916888,0.093037654,0.017236928,0.224814387,0.018242582
9,34,236,0.448699,0.114564544,0.09247291,0.014299035,0.173403228,0.041315335
10,34,236,0.448699,0.11493913,0.107831959,0.029250963,0.180121379,0.041315335
11,34,236,0.448699,0.083724859,0.080706155,0.016000597,0.175674543,0.041315335
12,34,236,0.448699,0.068597575,0.125826021,0.012668244,0.232272108,0.041315335
13,34,236,0.448699,0.10383723,0.105567078,0.00734621,0.18278984,0.041315335
14,34,236,0.448699,0.110308994,0.132681253,0.023983967,0.19611508,0.041315335
15,34,236,0.448699,0.086093914,0.115000652,0.022985771,0.225628557,0.041315335
16,34,236,0.448699,0.087773036,0.122635619,0.0226573,0.201980388,0.041315335
17,34,236,0.448699,0.120816994,0.100435362,0.026900129,0.206479279,0.041315335
18,34,236,0.448699,0.101087511,0.094955364,0.017685251,0.213916596,0.041315335
19,34,236,0.448699,0.070865817,0.109227179,0.026222562,0.207097692,0.041315335
20,34,236,0.448699,0.120076948,0.113281124,0.026361614,0.194357885,0.041315335
21,34,236,0.448699,0.105912429,0.086591536,0.015269256,0.24963944,0.041315335
22,34,236,0.448699,0.087336656,0.106640462,0.015623045,0.195931351,0.041315335
